hour,avg_steps_per_user_hour,total_steps,active_users,row_count
0,43.35,84758,35,1955
1,21.73,42470,35,1954
2,13.7,26775,35,1954
3,6.89,13447,35,1952
4,11.16,21767,35,1950
5,34.6,67443,35,1949
6,148.06,288278,35,1947
7,285.75,555792,35,1945
8,395.29,767662,35,1942
9,431.72,837965,35,1941
10,458.5,884909,35,1930
11,454.74,874921,35,1924
12,534.26,1024709,34,1918
13,496.23,951271,34,1917
14,506.02,970041,34,1917
15,398.06,760299,34,1910
16,470.96,895769,34,1902
17,499.71,949453,34,1900
18,550.27,1044955,34,1899
19,554.89,1053728,34,1899
20,377.63,716362,34,1897
21,283.5,537525,34,1896
22,204.01,386395,34,1894
23,112.09,211953,34,1891
